wind_speed,wind_direction,turbulence_intensity,num_turbines,wind_direction_sin,wind_direction_cos,wind_speed_squared,wind_speed_cubed,wake_adjusted_wind,prediction_kw
11.658475,349.64804,0.1,188.0,-0.17969438,0.9837225,135.92004,1584.6204,10.492627,631128.8
12.232711,167.59576,0.06,77.0,0.21480753,-0.9766564,149.63922,1830.4933,11.498748,261255.08
12.215963,237.336,0.06,188.0,-0.84185004,-0.5397115,149.22977,1822.9854,11.483006,636549.44
10.660656,303.4947,0.06,147.0,-0.833937,0.5518597,113.64959,1211.5791,10.021017,498705.03
5.0624657,214.77733,0.06,147.0,-0.5703886,-0.82137495,25.62856,129.7437,4.7587175,63079.074
11.170992,254.10469,0.1,51.0,-0.96176374,-0.27388048,124.79106,1394.0399,10.053893,172971.78
17.777328,117.10994,0.06,101.0,0.89013374,-0.45569932,316.03342,5618.2295,16.71069,342685.16
16.467287,260.24603,0.06,101.0,-0.9855443,-0.16941774,271.17154,4465.4595,15.47925,342685.34
12.221852,224.83255,0.06,51.0,-0.70503724,-0.70917034,149.37367,1825.6229,11.488542,173016.3
12.364978,307.81348,0.08,188.0,-0.7900108,0.6130929,152.89267,1890.5145,11.37578,637869.44
15.989929,212.37404,0.08,51.0,-0.53544414,-0.84457064,255.67784,4088.2705,14.710735,173039.4
18.39852,259.25687,0.08,145.0,-0.9824727,-0.1864063,338.50552,6228.0005,16.926638,491973.72
13.669391,86.15866,0.06,145.0,0.9977534,0.0669938,186.85225,2554.1562,12.849227,491973.7
4.954228,81.458626,0.08,77.0,0.9889089,0.14852355,24.544374,121.59843,4.5578895,27555.35
16.282019,14.435965,0.1,87.0,0.24929781,0.9684269,265.10413,4316.43,14.653817,295184.4
5.2201266,119.672554,0.06,77.0,0.86886877,-0.4950425,27.249722,142.247,4.906919,37218.82
15.8918,286.87,0.08,147.0,-0.9569657,0.2902011,252.5493,4013.4631,14.620456,498760.44
12.59555,5.7713594,0.06,51.0,0.100558974,0.9949311,158.64787,1998.2571,11.839817,173039.19
19.61666,303.30353,0.08,87.0,-0.8357735,0.5490743,384.81332,7548.7515,18.047327,295185.28
20.488157,325.60718,0.06,147.0,-0.5648636,0.8251843,419.7646,8600.203,19.258867,498762.94
7.3733735,359.9234,0.1,87.0,-0.0013369065,0.9999991,54.36664,400.8655,6.636036,118487.234
7.98166,272.65402,0.1,145.0,-0.99892735,0.046304863,63.706894,508.48676,7.183494,252562.88
5.6685677,103.982994,0.08,51.0,0.9703675,-0.24163389,32.13266,182.14615,5.215082,29530.037
8.709877,287.81464,0.1,51.0,-0.9520513,0.3059385,75.86196,660.7483,7.838889,108438.37
7.991455,113.04766,0.1,51.0,0.9201795,-0.39149672,63.863354,510.3611,7.1923094,83199.26
13.138456,263.9299,0.08,101.0,-0.9943933,-0.10574514,172.61903,2267.9478,12.087379,342685.4
5.729038,321.58234,0.08,145.0,-0.6213893,0.7835019,32.821873,188.03775,5.2707148,73916.68
23.450024,116.88436,0.06,51.0,0.891921,-0.4521913,549.9036,12895.253,22.043022,173039.02
10.822299,24.79603,0.08,101.0,0.4193892,0.9078065,117.122154,1267.531,9.956515,336707.47
5.0480757,350.2766,0.08,77.0,-0.16889174,0.9856346,25.483068,128.64046,4.6442294,33267.65
6.51195,108.6785,0.08,77.0,0.94733053,-0.32025748,42.405495,276.14246,5.990994,69671.94
6.057379,8.383827,0.06,147.0,0.14580378,0.98931354,36.691837,222.25636,5.693936,108996.8
18.261581,131.5686,0.06,147.0,0.7481618,-0.66351634,333.48535,6089.97,17.165886,498759.6
